company_name,street,city,state,zip_code
Duffy's Sports Grill,11588 US-1, North Palm Beach,FL,33408
Duffy's Sports Grill,3969 NE 163rd St, North Miami Beach,FL,33160
Duffy's Sports Grill,8575 SW 124th Ave., Miami,FL,33183
Duffy's Sports Grill,1804 Cordova Rd, Fort Lauderdale,FL,33316
Duffy's Sports Grill,1750 S Federal Hwy, Delray Beach,FL,33483
Duffy's Sports Grill,3001 SW Port St Lucie Blvd, Port St. Lucie,FL,34953
Duffy's Sports Grill,20465 FL-7, Boca Raton,FL,33498
Duffy's Sports Grill,3005 University Pkwy, Sarasota,FL,34243
Duffy's Sports Grill,811 S University Dr, Plantation,FL,33324
Duffy's Sports Grill,6545 Boynton Beach Blvd, Boynton Beach,FL,33437
Duffy's Sports Grill,21212 St Andrews Blvd, Boca Raton,FL,33433
